temperature,ph,turbidity,tds,rainfall,humidity,risk_level,is_synthetic,source
31.21,8.63,7.1,50.0,26.72,84.71,MEDIUM,True,synthetic:who_cdc_rules
19.37,7.61,1.64,411.42,17.09,75.26,MEDIUM,True,synthetic:who_cdc_rules
30.84,8.27,9.75,343.04,47.8,73.69,MEDIUM,True,synthetic:who_cdc_rules
32.89,8.52,0.1,69.0,50.3,62.46,MEDIUM,True,synthetic:who_cdc_rules
30.81,8.12,1.26,716.18,57.99,77.8,MEDIUM,True,synthetic:who_cdc_rules
31.07,5.68,10.91,50.0,29.58,93.5,HIGH,True,synthetic:who_cdc_rules
29.35,5.79,8.21,196.83,32.03,50.05,MEDIUM,True,synthetic:who_cdc_rules
25.62,6.38,3.65,544.62,23.53,86.13,MEDIUM,True,synthetic:who_cdc_rules
38.23,7.54,2.48,652.64,27.21,38.16,MEDIUM,True,synthetic:who_cdc_rules
39.1,7.14,5.07,151.66,36.81,45.36,MEDIUM,True,synthetic:who_cdc_rules
37.08,8.57,6.46,725.99,9.47,55.88,LOW,True,synthetic:who_cdc_rules
19.9,7.31,4.71,274.05,0.0,63.42,LOW,True,synthetic:who_cdc_rules
37.3,7.0,8.95,253.79,25.43,55.32,MEDIUM,True,synthetic:who_cdc_rules
28.17,7.55,13.22,437.43,0.73,94.36,MEDIUM,True,synthetic:who_cdc_rules
21.61,6.28,12.92,438.37,2.56,40.43,MEDIUM,True,synthetic:who_cdc_rules
35.63,7.89,6.89,261.63,15.11,37.28,HIGH,True,synthetic:who_cdc_rules
19.91,7.61,5.48,328.28,13.77,80.73,LOW,True,synthetic:who_cdc_rules
21.31,6.14,9.01,850.75,0.0,41.53,MEDIUM,True,synthetic:who_cdc_rules
21.6,6.82,3.79,207.41,34.19,93.85,LOW,True,synthetic:who_cdc_rules
38.66,5.94,5.63,522.45,35.06,58.17,MEDIUM,True,synthetic:who_cdc_rules
19.27,7.31,11.45,534.19,17.38,77.66,MEDIUM,True,synthetic:who_cdc_rules
39.46,8.35,9.23,100.92,12.78,58.76,MEDIUM,True,synthetic:who_cdc_rules
32.38,5.69,14.3,528.11,16.18,79.88,MEDIUM,True,synthetic:who_cdc_rules
18.3,7.54,3.89,278.71,32.28,94.11,LOW,True,synthetic:who_cdc_rules
37.42,8.95,4.68,155.98,17.24,58.12,MEDIUM,True,synthetic:who_cdc_rules
24.65,6.56,8.79,322.87,47.3,83.12,MEDIUM,True,synthetic:who_cdc_rules
29.29,7.87,0.45,296.01,37.36,60.58,LOW,True,synthetic:who_cdc_rules
27.74,8.58,8.23,217.26,21.28,43.14,MEDIUM,True,synthetic:who_cdc_rules
19.93,7.23,2.26,306.59,50.74,48.95,MEDIUM,True,synthetic:who_cdc_rules
19.86,5.87,7.61,247.86,64.27,61.07,MEDIUM,True,synthetic:who_cdc_rules
21.26,6.82,0.1,255.05,0.0,52.31,LOW,True,synthetic:who_cdc_rules
33.71,7.84,9.25,358.87,17.83,60.7,LOW,True,synthetic:who_cdc_rules
36.23,8.31,7.11,190.27,13.29,69.64,HIGH,True,synthetic:who_cdc_rules
39.65,8.86,10.3,50.0,28.53,78.87,HIGH,True,synthetic:who_cdc_rules
27.1,7.22,3.83,294.41,9.13,66.81,LOW,True,synthetic:who_cdc_rules
28.95,8.34,4.99,321.1,13.45,41.44,LOW,True,synthetic:who_cdc_rules
18.48,6.4,0.1,615.02,0.0,39.29,MEDIUM,True,synthetic:who_cdc_rules
34.7,8.88,6.5,714.0,0.0,55.45,MEDIUM,True,synthetic:who_cdc_rules
