District,S.No.,Parameters,Type,April - Total [(A+B) or (C+D)],April - Public [A],April - Private [B],April - Urban [C],April - Rural [D],May - Total [(A+B) or (C+D)],May - Public [A],May - Private [B],May - Urban [C],May - Rural [D],June - Total [(A+B) or (C+D)],June - Public [A],June - Private [B],June - Urban [C],June - Rural [D],July - Total [(A+B) or (C+D)],July - Public [A],July - Private [B],July - Urban [C],July - Rural [D],August - Total [(A+B) or (C+D)],August - Public [A],August - Private [B],August - Urban [C],August - Rural [D],September - Total [(A+B) or (C+D)],September - Public [A],September - Private [B],September - Urban [C],September - Rural [D],October - Total [(A+B) or (C+D)],October - Public [A],October - Private [B],October - Urban [C],October - Rural [D],November - Total [(A+B) or (C+D)],November - Public [A],November - Private [B],November - Urban [C],November - Rural [D],December - Total [(A+B) or (C+D)],December - Public [A],December - Private [B],December - Urban [C],December - Rural [D],January - Total [(A+B) or (C+D)],January - Public [A],January - Private [B],January - Urban [C],January - Rural [D],February - Total [(A+B) or (C+D)],February - Public [A],February - Private [B],February - Urban [C],February - Rural [D],March - Total [(A+B) or (C+D)],March - Public [A],March - Private [B],March - Urban [C],March - Rural [D],Total - Total [(A+B) or (C+D)],Total - Public [A],Total - Private [B],Total - Urban [C],Total - Rural [D]
Baksa,'1.1',Total number of pregnant women registered for ANC,TOTAL,1432,1430,2,NA,1432,1706,1706,0,NA,1706,1539,1539,0,NA,1539,1587,1586,1,NA,1587,1426,1424,2,NA,1426,1172,1171,1,NA,1172,974,974,0,NA,974,1179,1177,2,NA,1179,1109,1108,1,NA,1109,1294,1290,4,NA,1294,1482,1482,0,NA,1482,1357,1351,6,NA,1357,16257,16238,19,NA,16257
Baksa,'1.1.1',"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,1264,1264,0,NA,1264,1473,1473,0,NA,1473,1360,1360,0,NA,1360,1387,1386,1,NA,1387,1245,1243,2,NA,1245,1013,1012,1,NA,1013,831,831,0,NA,831,1026,1025,1,NA,1026,970,969,1,NA,970,1145,1145,0,NA,1145,1312,1312,0,NA,1312,1218,1212,6,NA,1218,14244,14232,12,NA,14244
Baksa,'1.2.1',Number of PW given TT1,TOTAL,1077,1076,1,NA,1077,1431,1431,0,NA,1431,1484,1484,0,NA,1484,1446,1445,1,NA,1446,1477,1477,0,NA,1477,1169,1169,0,NA,1169,1003,1003,0,NA,1003,1064,1062,2,NA,1064,962,960,2,NA,962,1085,1085,0,NA,1085,1342,1335,7,NA,1342,984,984,0,NA,984,14524,14511,13,NA,14524
Baksa,'1.2.2',Number of PW given TT2,TOTAL,931,930,1,NA,931,1084,1084,0,NA,1084,1232,1232,0,NA,1232,1628,1626,2,NA,1628,1438,1438,0,NA,1438,1341,1341,0,NA,1341,1206,1206,0,NA,1206,1002,1001,1,NA,1002,934,932,2,NA,934,940,940,0,NA,940,1017,1010,7,NA,1017,981,981,0,NA,981,13734,13721,13,NA,13734
Baksa,'1.2.3',Number of PW given TT Booster,TOTAL,16,16,0,NA,16,51,51,0,NA,51,55,55,0,NA,55,67,67,0,NA,67,54,54,0,NA,54,57,57,0,NA,57,49,49,0,NA,49,58,58,0,NA,58,24,24,0,NA,24,51,51,0,NA,51,49,49,0,NA,49,32,32,0,NA,32,563,563,0,NA,563
Baksa,'1.2.4',Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,1195,1195,0,NA,1195,1326,1326,0,NA,1326,1320,1320,0,NA,1320,1425,1425,0,NA,1425,1367,1367,0,NA,1367,1231,1231,0,NA,1231,1285,1285,0,NA,1285,1252,1252,0,NA,1252,1259,1259,0,NA,1259,1267,1267,0,NA,1267,1301,1301,0,NA,1301,1213,1213,0,NA,1213,15441,15441,0,NA,15441
Baksa,'1.2.5',Number of PW given 360 Calcium tablets,TOTAL,1038,1038,0,NA,1038,1166,1166,0,NA,1166,1292,1292,0,NA,1292,1340,1340,0,NA,1340,1292,1292,0,NA,1292,1227,1227,0,NA,1227,1147,1147,0,NA,1147,1207,1207,0,NA,1207,1292,1292,0,NA,1292,1136,1136,0,NA,1136,1162,1162,0,NA,1162,1113,1113,0,NA,1113,14412,14412,0,NA,14412
Baksa,'1.2.6',Number of PW given one Albendazole tablet after 1st trimester,TOTAL,898,898,0,NA,898,1078,1078,0,NA,1078,1094,1094,0,NA,1094,1242,1242,0,NA,1242,1197,1197,0,NA,1197,1066,1066,0,NA,1066,928,928,0,NA,928,911,911,0,NA,911,829,829,0,NA,829,919,919,0,NA,919,966,966,0,NA,966,944,944,0,NA,944,12072,12072,0,NA,12072
Baksa,'1.2.7',Number of PW received 4 or more ANC check ups,TOTAL,891,891,0,NA,891,873,873,0,NA,873,1092,1092,0,NA,1092,1147,1147,0,NA,1147,1130,1130,0,NA,1130,1142,1142,0,NA,1142,1202,1202,0,NA,1202,1300,1300,0,NA,1300,1269,1269,0,NA,1269,1158,1158,0,NA,1158,1100,1100,0,NA,1100,894,894,0,NA,894,13198,13198,0,NA,13198
Baksa,'1.2.8',Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,1,1,0,NA,1,14,14,0,NA,14,7,7,0,NA,7,15,15,0,NA,15,1,1,0,NA,1,2,2,0,NA,2,2,2,0,NA,2,6,6,0,NA,6,10,10,0,NA,10,1,1,0,NA,1,8,8,0,NA,8,9,9,0,NA,9,76,76,0,NA,76
Baksa,'1.3.1',New cases of PW with hypertension detected,TOTAL,31,31,0,NA,31,44,44,0,NA,44,38,36,2,NA,38,38,38,0,NA,38,29,29,0,NA,29,27,27,0,NA,27,28,28,0,NA,28,40,40,0,NA,40,35,34,1,NA,35,37,37,0,NA,37,44,44,0,NA,44,36,36,0,NA,36,427,424,3,NA,427
Baksa,'1.3.1.a',"Out of the new cases of PW with hypertension detected, cases managed at institution",TOTAL,11,11,0,NA,11,21,21,0,NA,21,26,26,0,NA,26,31,31,0,NA,31,26,26,0,NA,26,21,21,0,NA,21,21,21,0,NA,21,24,24,0,NA,24,21,21,0,NA,21,17,17,0,NA,17,20,20,0,NA,20,23,23,0,NA,23,262,262,0,NA,262
Baksa,'1.3.2',Number of Eclampsia cases managed during delivery,TOTAL,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,1,1,0,NA,1,1,1,0,NA,1,2,2,0,NA,2,1,1,0,NA,1,5,5,0,NA,5
Baksa,'1.4.1',Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,TOTAL,967,967,0,NA,967,888,888,0,NA,888,1074,1074,0,NA,1074,1224,1224,0,NA,1224,1129,1129,0,NA,1129,1155,1155,0,NA,1155,1151,1151,0,NA,1151,1284,1284,0,NA,1284,1188,1188,0,NA,1188,1123,1123,0,NA,1123,1026,1026,0,NA,1026,978,978,0,NA,978,13187,13187,0,NA,13187
Baksa,'1.4.2',Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,715,715,0,NA,715,793,793,0,NA,793,852,849,3,NA,852,998,998,0,NA,998,929,919,10,NA,929,745,745,0,NA,745,829,829,0,NA,829,846,846,0,NA,846,736,736,0,NA,736,687,687,0,NA,687,793,793,0,NA,793,788,788,0,NA,788,9711,9698,13,NA,9711
Baksa,'1.4.3',Number of PW having Hb level<7 (tested cases),TOTAL,16,16,0,NA,16,18,18,0,NA,18,27,27,0,NA,27,17,17,0,NA,17,14,14,0,NA,14,15,15,0,NA,15,21,21,0,NA,21,23,23,0,NA,23,22,22,0,NA,22,25,25,0,NA,25,17,17,0,NA,17,10,10,0,NA,10,225,225,0,NA,225
